grp L2
Rask 0.00678
Rask 0.00341
Rask 0.00348
Rask 0.00285
Rask 0.00431
Rask 0.00807
Rask 0.00688
Rask 0.01576
Rask 0.00336
Rask 0.00208
Rask 0.00245
Rask 0.00187
Rask 0.00426
Rask 0.00189
Rask 0.00187
VF 0.00308
VF 0.05289
HF 0.01143
HF 0.05174
VB 0.01246
VB 0.02327
HB 0.00595
HB 0.03314
Rask 0.00162
VF 0.01285
VF 0.05308
HF 0.01977
HF 0.06263
VB 0.00335
VB 0.01264
HB 0.02016
HB 0.03288
Rask 0.00596
VF 0.01016
VF 0.04989
HF 0.00811
HF 0.10345
VB 0.01407
VB 0.02186
Rask 0.00598
VF 0.00292
VF 0.13336
HF 0.07910
HF 0.12828
VB 0.01080
VB 0.02194
HB 0.00194
HB 0.00608
Rask 0.00151
VF 0.01195
VF 0.03426
HF 0.01081
HF 0.02221
VB 0.05465
VB 0.22633
HB 0.04037
HB 0.07966
Rask 0.00147
VF 0.03438
VF 0.04843
HF 0.01636
HF 0.07088
VB 0.01585
VB 0.06600
HB 0.05075
HB 0.05170
Rask 0.00218
VF 0.07790
VF 0.20410
HF 0.05749
HF 0.16346
VB 0.01487
VB 0.01457
HB 0.00374
HB 0.01997
Rask 0.00193
VF 0.03558
VF 0.05248
HF 0.00732
HF 0.01591
VB 0.00288
VB 0.01393
HB 0.00661
HB 0.01564
Rask 0.00177
