dosis dosisGrp      vaekst       logvaekst
 0.0        d0           1.126065   0.1187294
 0.0        d0           1.817982   0.5977269
 0.0        d0           1.395579   0.3333092
 0.0        d0           1.524362   0.4215762
 0.5      d0.5          1.299588   0.2620472
 0.5      d0.5          2.433255   0.8892298
 0.5      d0.5          2.157689   0.7690377
 0.5      d0.5          2.200451   0.7886624
 1.0         d1          4.899746   1.5891834
 1.0         d1          4.679373   1.5431641
 1.0         d1          4.012652   1.3894523
 1.0         d1          4.166229   1.4270114
 1.5      d1.5          9.921381   2.2946922
 1.5      d1.5          5.660529   1.7335174
 1.5      d1.5        10.576608   2.3586447
 1.5      d1.5          7.716599   2.0433738
 2.0         d2          8.399245   2.1281418
 2.0         d2        13.567875   2.6077049
 2.0         d2          8.775363   2.1719482
 2.0         d2          8.782666   2.1727800
 2.5      d2.5        12.872965   2.5551294
 2.5      d2.5        12.136611   2.4962266
 2.5      d2.5        13.179902   2.5786931
 2.5      d2.5        16.589235   2.8087540
 3.0         d3        18.960110   2.9423373
 3.0         d3        14.105219   2.6465448
 3.0         d3        15.420308   2.7356853
 3.0         d3        25.388482   3.2342956
