hest	retning	diameter	S
G01	M	0	-6.25712787934539
G01	H	8	-4.72369186846101
G01	H	16	-5.00037804761236
G01	V	8	-4.2979420458981
G01	V	16	-4.58971929969255
G02	M	0	-5.34806468156356
G02	H	8	-4.43002676785209
G02	H	16	-4.87509209189304
G02	V	8	-5.66791592147691
G02	V	16	-5.71757666366197
G03	M	0	-5.79732525628899
G03	H	8	-3.80284554147452
G03	H	16	-4.56166044497659
G03	V	8	-4.54997371921959
G03	V	16	-6.41709940205343
G04	M	0	-8.03276298473702
G04	H	8	-4.21727505486264
G04	H	16	-4.87724631521886
G04	V	8	-4.08237794925251
G04	V	16	-5.06026749164794
G05	M	0	-5.15609392226008
G05	H	8	-4.2159005462331
G05	H	16	-4.37508245878394
G05	V	8	-4.49762448958518
G05	V	16	-4.55067882932749
G06	M	0	-5.76600924181679
G06	H	8	-5.13566502661472
G06	H	16	-5.45114029510083
G06	V	8	-3.99612379283059
G06	V	16	-5.06392388596673
G07	M	0	-5.39484257450035
G07	H	8	-3.89283056675587
G07	H	16	-4.44764340089236
G07	V	8	-3.63610705776804
G07	V	16	-4.87723952841397
G08	M	0	-6.34850472721777
G08	H	8	-4.90250154351772
G08	H	16	-5.5880157677273
G08	V	8	-4.79409954865022
G08	V	16	-4.5585673935549
G09	M	0	-4.53498569872251
G09	H	8	-5.79641659330534
G09	H	16	-5.47026490141009
G09	V	8	-4.54981031117169
G09	V	16	-5.40329824003543
G11	M	0	-6.35512253509399
G11	H	8	-5.03866967919502
G11	H	16	-5.81134587938414
G11	V	8	-4.36032305518711
G11	V	16	-4.91739385127584
G13	M	0	-5.40449575365206
G13	H	8	-4.42417695404415
G13	H	16	-4.96909561281914
G13	V	8	-4.3796331380393
G13	V	16	-4.13178208240071
G14	M	0	-5.61408607302461
G14	H	8	-4.66215874581114
G14	H	16	-5.22997415036658
G14	V	8	-4.62317846640006
G14	V	16	-5.46160849794851
G15	M	0	-6.27637064419371
G15	H	8	-5.29590739385911
G15	H	16	-6.81608659583579
G15	V	8	-4.47117008903673
G15	V	16	-5.6676568129042
G16	M	0	-6.1037013372033
G16	H	8	-4.49737245744429
G16	H	16	-4.39774879820697
G16	V	8	-5.39968673746859
G16	V	16	-5.84643422798045
G17	M	0	-6.9157139478627
G17	H	8	-4.30556110106815
G17	H	16	-5.10430521664606
G17	V	8	-4.53609024992522
G17	V	16	-5.14497383953739
G18	M	0	-5.58089633288956
G18	H	8	-4.80320630573202
G18	H	16	-5.28862899717636
G18	V	8	-4.96248825999891
G18	V	16	-6.1306363181141
G19	M	0	-5.81931432521585
G19	H	8	-4.27656496892077
G19	H	16	-5.13688043460801
G19	V	8	-4.52238988083599
G19	V	16	-4.63612237467336
G20	M	0	-5.57281471298035
G20	H	8	-4.88988740549406
G20	H	16	-5.634840734942
G20	V	8	-5.22357140156652
G20	V	16	-6.18884043451628
G21	M	0	-7.08664439414675
G21	H	8	-5.5837552031852
G21	H	16	-6.18342015116356
G21	V	8	-5.78659922708859
G21	V	16	-5.51352436486684
G22	M	0	-5.87602471327171
G22	H	8	-4.64671822999767
G22	H	16	-4.60972161337072
G22	V	8	-4.98031904849671
G22	V	16	-4.48899282834802
G23	M	0	-6.18946017487189
G23	H	8	-6.41603592983561
G23	H	16	-6.72845274725554
G23	V	8	-5.20338575875113
G23	V	16	-5.82901249165177
G25	M	0	-7.11314574087844
G25	H	8	-5.50993121964627
G25	H	16	-5.77913228050053
G25	V	8	-5.04876396941223
G25	V	16	-5.09507064242635
G26	M	0	-6.17987291463137
G26	H	8	-5.16615019746934
G26	H	16	-4.5581335159556
G26	V	8	-4.05956334995799
G26	V	16	-4.94822211200882
G28	M	0	-5.76264448640518
G28	H	8	-3.67403031515672
G28	H	16	-4.42937401135496
G28	V	8	-3.68101203377975
G28	V	16	-3.8159329728738
G29	M	0	-5.43147061757128
G29	H	8	-6.31296595285106
G29	H	16	-6.09341296795933
G29	V	8	-3.78728778033257
G29	V	16	-4.63712633068146
G30	M	0	-7.52028659516667
G30	H	8	-5.152116532792
G30	H	16	-5.33829110863934
G30	V	8	-4.94010572789957
G30	V	16	-5.25396815352338
G31	M	0	-7.1080014029876
G31	H	8	-5.03541581009673
G31	H	16	-5.05555852180245
G31	V	8	-5.10898080188835
G31	V	16	-5.77944648530171
