M	D	x
1	A	lav	95.7701601663491
2	A	lav	84.5012183826777
3	A	lav	99.3557068106005
4	A	lav	102.708813525891
5	A	lav	117.352836655298
6	A	lav	97.3528878872506
7	A	hoj	140.994707022694
8	A	hoj	128.633512196351
9	B	lav	133.894128547434
10	B	lav	146.37055606622
11	B	lav	133.569653046517
12	B	lav	129.699712668451
13	B	lav	147.124812686575
14	B	lav	135.542279059722
15	B	lav	142.489796475383
16	B	lav	129.258060489593
17	B	lav	121.727382837041
18	B	lav	140.15491903669
19	B	lav	123.156386552093
20	B	lav	142.044675463797
21	B	hoj	172.638636568348
22	B	hoj	162.501979100774
23	B	hoj	162.58195416511
24	B	hoj	177.855341571798
25	0	0	87.8029423668422
26	0	0	97.5987775365186
27	0	0	89.4133821094439
28	0	0	104.194090766007
29	0	0	97.2904335511979
30	0	0	93.6817517794419
31	0	0	97.7158807357347
32	0	0	111.786797259296
33	0	0	97.337273405911
34	0	0	105.281408290714
35	0	0	82.3134081102667
36	0	0	95.1020916456565
37	0	0	114.105215501216
38	0	0	89.2473643700702
39	0	0	102.923947103576
40	0	0	97.9333551872776
