Weight,BodyFat
154.25,12.3
173.25,6.1
154,25.3
184.75,10.4
184.25,28.7
210.25,20.9
181,19.2
176,12.4
191,4.1
198.25,11.7
186.25,7.1
216,7.8
180.5,20.8
205.25,21.2
187.75,22.1
162.75,20.9
195.75,29
209.25,22.9
183.75,16
211.75,16.5
179,19.1
200.5,15.2
140.25,15.6
148.75,17.7
151.25,14
159.25,3.7
131.5,7.9
148,22.9
133.25,3.7
160.75,8.8
160.25,5.7
168,11.8
218.5,21.3
247.25,32.3
191.75,40.1
202.25,24.2
196.75,28.4
203,32.6
262.75,34.5
217,31.6
212,32
125.25,7.7
164.25,13.9
133.5,10.8
135.75,13.6
127.5,4
158.25,10.2
139.25,6.6
137.25,8
152.75,6.3
136.25,3.9
198,22.6
181.5,20.4
201.25,28
202.5,31.5
179.75,24.6
216,26.1
178.75,29.8
193.25,30.7
178,25.8
205.5,32.3
183.5,30
151.5,21.5
154.75,13.8
155.25,6.3
156.75,12.9
167.5,24.3
146.75,8.8
160.75,8.5
125,13.5
143,11.8
162.5,8.8
177.75,22.2
161.25,21.5
171.25,18.8
163.75,31.4
150.25,26.8
190.25,18.4
170.75,27
168,27
157.75,14.9
160,23.1
176.75,8.3
176,14.1
177,20.5
179.75,18.2
165.25,8.5
192.5,24.9
184.25,9
188.75,9.6
162.5,11.3
156.5,17.8
197,22.2
198.5,21.2
173.75,20.4
172.75,20.1
196.75,22.3
177,25.4
165.5,18
200.25,19.3
203.25,18.3
194,17.3
168.5,21.4
170.75,19.7
183.25,28
178.25,22.1
163,21.3
175.25,26.7
158,16.7
177.25,20.1
179,13.9
191,25.8
187.5,18.1
206.5,27.9
185.25,25.3
160.25,14.7
151.5,16
161,13.8
167,17.5
177.5,27.2
152.25,17.4
192.25,20.8
165.25,14.9
171.75,18.1
171.25,22.7
197,23.6
157,26.1
168.25,24.4
186,27.1
166.75,21.8
187.75,29.4
168.25,22.4
212.75,20.4
176.75,24.9
173.25,18.3
167,23.3
159.75,9.4
188.15,10.3
156,14.2
208.5,19.2
206.5,29.6
143.75,5.3
223,25.2
152.25,9.4
241.75,19.6
146,10.1
156.75,16.5
200.25,21
171.5,17.3
205.75,31.2
182.5,10
177.25,22.5
151.25,9.4
196,14.6
184.25,13
140,15.1
218.75,27.3
217,19.2
166.25,21.8
224.75,20.3
172.75,16.5
152.25,3
125.75,0.7
177.25,20.5
176.25,16.9
145.25,9.9
151,13.1
241.25,29.9
187.25,22.5
234.75,16.9
219.25,26.6
145.75,11.5
159.25,12.1
170.5,17.5
167.5,8.6
232.75,23.6
210.5,20.4
202.25,20.5
185,24.4
153,11.4
244.25,38.1
193.5,15.9
224.75,24.7
162.75,22.8
180,25.5
156.25,22
168,17.7
167.25,6.6
170.75,23.6
178.25,12.2
150,22.1
200.5,28.7
184,6
223,34.8
166,32.9
195,32.8
160.5,9.6
159.75,10.8
140.5,7.1
216.25,27.2
168.25,19.5
194.75,18.7
172.75,19.5
219,47.5
149.25,13.6
154.5,7.5
199.25,24.5
154.5,15
153.25,12.4
230,26
161.75,11.5
142.25,5.2
179.75,10.9
126.5,12.5
169.5,14.8
198.5,25.2
174.5,14.9
167.75,17
147.75,10.6
182.25,16.1
175.5,15.4
161.75,26.7
157.75,25.8
168.75,18.6
191.5,24.8
219.15,27.3
155.25,12.4
189.75,29.9
127.5,17
224.5,35
234.25,30.4
227.75,32.6
199.5,29
155.5,15.2
215.5,30.2
134.25,11
201,33.6
186.75,29.3
190.75,26
207.5,31.9
