Month,r,M,R
jan94,0.496,8.549,12.360
apr94,0.510,-0.173,3.874
jul94,0.532,4.199,8.091
okt94,0.569,-0.630,11.170
jan95,0.543,-0.565,2.326
apr95,0.581,5.106,3.828
jul95,0.543,7.012,5.556
okt95,0.475,-0.346,1.230
jan96,0.370,6.312,5.948
apr96,0.316,2.949,-1.024
jul96,0.340,-1.556,2.740
okt96,0.316,2.432,-0.896
jan97,0.309,8.631,0.279
apr97,0.315,0.123,-0.515
jul97,0.314,10.174,-4.198
okt97,0.350,-4.737,-1.842
jan98,0.334,2.498,11.568
apr98,0.346,-5.460,-7.592
jul98,0.351,0.921,8.913
okt98,0.371,5.283,-15.278
