subj	G	time	liking
S101	N	before	4
S101	N	after	2
S102	N	before	6
S102	N	after	6
S103	N	before	1
S103	N	after	5
S104	N	before	1
S104	N	after	1
S105	N	before	5
S105	N	after	6
S106	N	before	7
S106	N	after	7
S107	N	before	4
S107	N	after	4
S108	N	before	7
S108	N	after	3
S109	N	before	6
S109	N	after	5
S110	N	before	3
S110	N	after	1
S111	N	before	1
S111	N	after	4
S112	N	before	4
S112	N	after	1
S113	N	before	6
S113	N	after	5
S114	N	before	3
S114	N	after	3
S115	N	before	3
S115	N	after	3
S116	N	before	7
S116	N	after	6
S117	N	before	6
S117	N	after	6
S118	N	before	5
S118	N	after	4
S119	N	before	5
S119	N	after	1
S120	N	before	5
S120	N	after	3
S121	N	before	7
S121	N	after	5
S122	N	before	4
S122	N	after	3
S123	N	before	5
S123	N	after	5
S124	N	before	2
S124	N	after	1
S125	N	before	6
S125	N	after	5
S126	N	before	1
S126	N	after	2
S127	N	before	6
S127	N	after	5
S128	N	before	7
S128	N	after	4
S129	N	before	5
S129	N	after	6
S131	N	before	5
S131	N	after	6
S132	N	before	6
S132	N	after	5
S133	N	before	6
S133	N	after	1
S134	B/C	before	5
S134	B/C	after	7
S135	B/C	before	4
S135	B/C	after	6
S136	B/C	before	2
S136	B/C	after	7
S137	B/C	before	4
S137	B/C	after	3
S138	B/C	before	7
S138	B/C	after	7
S139	B/C	before	4
S139	B/C	after	1
S140	B/C	before	5
S140	B/C	after	2
S141	B/C	before	7
S141	B/C	after	7
S142	B/C	before	4
S142	B/C	after	7
S143	B/C	before	5
S143	B/C	after	5
S144	B/C	before	3
S144	B/C	after	4
S145	B/C	before	7
S145	B/C	after	7
S146	B/C	before	7
S146	B/C	after	6
S147	B/C	before	5
S147	B/C	after	7
S148	B/C	before	4
S148	B/C	after	6
S149	B/C	before	1
S149	B/C	after	1
S151	B/C	before	4
S151	B/C	after	5
S154	B/C	before	7
S154	B/C	after	7
S155	B/C	before	1
S155	B/C	after	7
S156	B/C	before	6
S156	B/C	after	7
S157	B/C	before	4
S157	B/C	after	3
S158	B/C	before	3
S158	B/C	after	4
S159	B/C	before	3
S159	B/C	after	3
S160	B/C	before	4
S160	B/C	after	6
S161	B/C	before	3
S161	B/C	after	6
S162	B/C	before	4
S162	B/C	after	6
S163	B/C	before	3
S163	B/C	after	3
S164	B/C	before	5
S164	B/C	after	4
S165	B/C	before	4
S165	B/C	after	5
