rat	week	y
1   0   151
1   1   199
1   2   246
1   3   283
1   4   320
2   0   145
2   1   199
2   2   249
2   3   293
2   4   354
3   0   147
3   1   214
3   2   263
3   3   312
3   4   328
4   0   155
4   1   200
4   2   237
4   3   272
4   4   297
5   0   135
5   1   188
5   2   230
5   3   280
5   4   323
6   0   159
6   1   210
6   2   252
6   3   298
6   4   331
7   0   141
7   1   189
7   2   231
7   3   275
7   4   305
8   0   159
8   1   201
8   2   248
8   3   297
8   4   338
9   0   177
9   1   236
9   2   285
9   3   340
9   4   376
10  0   134
10  1   182
10  2   220
10  3   260
10  4   296
11  0   160
11  1   208
11  2   261
11  3   313
11  4   352
12  0   143
12  1   188
12  2   220
12  3   273
12  4   314
13  0   154
13  1   200
13  2   244
13  3   289
13  4   325
14  0   171
14  1   221
14  2   270
14  3   326
14  4   358
15  0   163
15  1   216
15  2   242
15  3   281
15  4   312
16  0   160
16  1   207
16  2   248
16  3   288
16  4   324
17  0   142
17  1   187
17  2   234
17  3   280
17  4   316
18  0   156
18  1   203
18  2   243
18  3   283
18  4   317
19  0   157
19  1   212
19  2   259
19  3   307
19  4   336
20  0   152
20  1   203
20  2   246
20  3   286
20  4   321
21  0   154
21  1   205
21  2   253
21  3   298
21  4   334
22  0   139
22  1   190
22  2   225
22  3   267
22  4   302
23  0   146
23  1   191
23  2   229
23  3   272
23  4   302
24  0   157
24  1   211
24  2   250
24  3   285
24  4   323
25  0   132
25  1   185
25  2   237
25  3   286
25  4   331
26  0   160
26  1   207
26  2   257
26  3   303
26  4   345
27  0   169
27  1   216
27  2   261
27  3   295
27  4   333
28  0   157
28  1   205
28  2   248
28  3   289
28  4   316
29  0   137
29  1   180
29  2   219
29  3   258
29  4   291
30  0   153
30  1   200
30  2   244
30  3   286
30  4   324
