dag m k tim minut sek
mandag 5 0 02 12 10
mandag 4 1 02 13 39
mandag 3 2 02 17 33
mandag 2 3 02 21 57
mandag 1 4 02 26 33
mandag 0 5 02 30 35
tirsdag 5 0 02 10 38
tirsdag 4 1 02 13 41
tirsdag 3 2 02 18 33
tirsdag 2 3 02 22 32
tirsdag 1 4 02 27 37
tirsdag 0 5 02 31 01
onsdag 5 0 02 07 10
onsdag 4 1 02 10 58
onsdag 3 2 02 14 53
onsdag 2 3 02 16 00
onsdag 1 4 02 26 30
onsdag 0 5 02 26 25
torsdag 5 0 02 06 20
torsdag 4 1 02 09 26
torsdag 3 2 02 14 29
torsdag 2 3 02 19 09
torsdag 1 4 02 23 40
torsdag 0 5 02 24 32
