year temp
1900 -4.191666666666666
1901 -4.758333333333334
1902 -5.041666666666667
1903 -5.125
1904 -5.708333333333334
1905 -4.408333333333333
1906 -6.666666666666666
1907 -6.575
1908 -4.4750000000000005
1909 -5.35
1910 -7.4
1911 -5.758333333333334
1912 -3.3833333333333333
1913 -5.408333333333333
1914 -7.858333333333333
1915 -5.266666666666667
1916 -3.166666666666667
1917 -5.491666666666666
1918 -7.875
1919 -5.866666666666666
1920 -6.433333333333334
1921 -5.825
1922 -6.058333333333334
1923 -4.116666666666666
1924 -4.283333333333333
1925 -4.966666666666667
1926 -3.6416666666666666
1927 -3.8833333333333333
1928 -1.8666666666666665
1929 -1.8583333333333334
1930 -3.058333333333333
1931 -3.5083333333333333
1932 -2.6500000000000004
1933 -3.266666666666667
1934 -3.8416666666666663
1935 -3.158333333333333
1936 -2.525
1937 -4.116666666666667
1938 -5.7749999999999995
1939 -3.3166666666666664
1940 -3.158333333333333
1941 -1.7083333333333333
1942 -3.466666666666667
1943 -4.408333333333333
1944 -4.891666666666667
1945 -3.941666666666667
1946 -2.666666666666667
1947 -1.5916666666666666
1948 -4.191666666666666
1949 -5.591666666666667
1950 -4.866666666666666
1951 -5.2250000000000005
1952 -3.8583333333333334
1953 -5.45
1954 -3.975
1955 -4.9
1956 -5.425
1957 -4.3
1958 -4.141666666666667
1959 -4.483333333333333
1960 -2.7333333333333334
1961 -4.958333333333333
1962 -2.7666666666666666
1963 -2.908333333333333
1964 -4.483333333333333
1965 -2.933333333333333
1966 -4.341666666666667
1967 -4.2
1968 -3.8
1969 -3.408333333333333
1970 -4.85
1971 -6.3999999999999995
1972 -5.983333333333333
1973 -4.341666666666667
1974 -4.433333333333334
1975 -5.083333333333333
1976 -4.083333333333333
1977 -2.5666666666666664
1978 -3.6083333333333334
1979 -3.533333333333333
1980 -2.5666666666666664
1981 -3.766666666666667
1982 -5.4
1983 -8.225
1984 -8.325
1985 -2.1916666666666664
1986 -3.5583333333333336
1987 -4.583333333333333
1988 -3.333333333333333
1989 -6.525
1990 -5.291666666666667
1991 -4.883333333333333
1992 -7.258333333333333
1993 -6.933333333333334
1994 -6.216666666666667
1995 -5.133333333333333
1996 -4.025
1997 -4.041666666666667
1998 -3.15
1999 -5.016666666666667
2000 -3.0083333333333333
2001 -3.558333333333333
2002 -3.808333333333333
2003 -1.675
2004 -3.3916666666666666
2005 -1.783333333333333
2006 -3.216666666666667
2007 -2.658333333333333
2008 -3.716666666666667
2009 -3.25
2010 -0.09166666666666672
2011 -4.108333333333333
2012 -3.0833333333333335
2013 -3.341666666666667
