gris	opbevaring	tid	farve
1	moerkt	1	6.277
1	moerkt	4	4.806
1	moerkt	6	6.019
1	lyst	1	8.418
1	lyst	4	4.915
1	lyst	6	3.336
2	moerkt	1	5.302
2	moerkt	4	6.683
2	moerkt	6	7.274
2	lyst	1	7.16
2	lyst	4	4.776
2	lyst	6	4.406
3	moerkt	1	3.633
3	moerkt	4	4.751
3	moerkt	6	4.054
3	lyst	1	5.689
3	lyst	4	3.306
3	lyst	6	3.458
4	moerkt	1	6.496
4	moerkt	4	7.567
4	moerkt	6	6.451
4	lyst	1	4.231
4	lyst	4	3.676
4	lyst	6	4.032
5	moerkt	1	7.272
5	moerkt	4	5.631
5	moerkt	6	6.343
5	lyst	1	4.802
5	lyst	4	7.215
5	lyst	6	2.377
6	moerkt	1	5.062
6	moerkt	4	5.911
6	moerkt	6	4.894
6	lyst	1	6.51
6	lyst	4	3.004
6	lyst	6	2.022
7	moerkt	1	5.841
7	moerkt	4	6.842
7	moerkt	6	2.079
7	lyst	1	7.552
7	lyst	4	3.008
7	lyst	6	5.342
8	moerkt	1	5.093
8	moerkt	4	6.138
8	moerkt	6	1.606
8	lyst	1	9.403
8	lyst	4	3.517
8	lyst	6	2.666
9	moerkt	1	7.246
9	moerkt	4	7.31
9	moerkt	6	7.461
9	lyst	1	6.949
9	lyst	4	7.287
9	lyst	6	4.953
10	moerkt	1	6.73
10	moerkt	4	6.574
10	moerkt	6	6.396
10	lyst	1	5.171
10	lyst	4	3.673
10	lyst	6	5.48
