koen	rang	score
mand	officer	34.99
mand	officer	25.08
mand	officer	40.5
mand	officer	55.59
mand	officer	15.9
mand	officer	35.66
mand	officer	49.12
mand	officer	27.02
mand	officer	31.04
mand	officer	20.9
mand	officer	19.31
mand	officer	28.12
mand	officer	30.19
mand	officer	16.57
mand	officer	32.27
mand	officer	33.93
mand	officer	39.4
mand	officer	34.33
mand	officer	34.72
mand	officer	51.63
mand	officer	36.14
mand	officer	32.83
mand	officer	58.01
mand	officer	46.8
mand	officer	62.1
mand	officer	31.39
mand	officer	21.69
mand	officer	43.49
mand	officer	47.17
mand	officer	57.47
mand	officer	37.17
mand	officer	32.72
mand	officer	44.87
mand	officer	34.17
mand	officer	45.71
mand	officer	29.44
mand	officer	22.61
mand	officer	34.35
mand	officer	37.7
mand	officer	34.76
mand	officer	60.27
mand	officer	20.37
mand	officer	30.57
mand	officer	25.06
mand	officer	31.41
mand	officer	45.71
mand	officer	42.76
mand	officer	46.89
mand	officer	44.07
mand	officer	24.13
mand	officer	26.72
mand	officer	45.06
mand	officer	35.59
mand	officer	39.36
mand	officer	39.43
mand	officer	28.8
mand	officer	57.13
mand	officer	42.97
mand	officer	38.76
mand	officer	46.44
mand	menig	9.76
mand	menig	16.29
mand	menig	22.78
mand	menig	19.21
mand	menig	19.83
mand	menig	21.22
mand	menig	27.41
mand	menig	51.09
mand	menig	16.11
mand	menig	32.9
mand	menig	40.03
mand	menig	9.01
mand	menig	18.81
mand	menig	28.48
mand	menig	32.25
mand	menig	20.25
mand	menig	47.62
mand	menig	39.58
mand	menig	24.29
mand	menig	51.64
mand	menig	39.43
mand	menig	23.72
mand	menig	19.5
mand	menig	27.35
mand	menig	25.31
mand	menig	21.26
mand	menig	30.49
mand	menig	27.38
mand	menig	27.74
mand	menig	25.34
mand	menig	18.51
mand	menig	35.55
mand	menig	4.17
mand	menig	32.86
mand	menig	52.03
mand	menig	29.7
mand	menig	29.27
mand	menig	26.3
mand	menig	30.35
mand	menig	54.5
mand	menig	38.7
mand	menig	27.87
mand	menig	44.55
mand	menig	29.46
mand	menig	13.49
mand	menig	25.79
mand	menig	27.83
mand	menig	12.88
mand	menig	40.45
mand	menig	34.88
mand	menig	29.13
mand	menig	25.67
mand	menig	46
mand	menig	32.3
mand	menig	24.07
mand	menig	14.98
mand	menig	29.35
mand	menig	34.08
mand	menig	21.61
mand	menig	37.95
mand	menig	50.55
mand	menig	33.08
mand	menig	25.69
mand	menig	42.52
mand	menig	36.72
mand	menig	40.76
mand	menig	28.96
mand	menig	34.32
mand	menig	4.95
mand	menig	25.85
mand	menig	30.63
mand	menig	24.89
mand	menig	38.75
mand	menig	36.59
mand	menig	18.54
mand	menig	29.61
mand	menig	42.06
mand	menig	38.01
mand	menig	63.03
mand	menig	10.09
mand	menig	28.79
mand	menig	42.44
mand	menig	38.36
mand	menig	14.12
mand	menig	31.46
mand	menig	14.47
mand	menig	40.16
mand	menig	11.52
mand	menig	31.8
mand	menig	40.58
mand	menig	38.17
mand	menig	32.47
mand	menig	40.28
mand	menig	19.41
mand	menig	19.98
mand	menig	31.51
mand	menig	47.92
mand	menig	37.88
mand	menig	17.08
mand	menig	36.62
mand	menig	25.6
mand	menig	49.35
mand	menig	37.98
mand	menig	40.09
mand	menig	31.17
mand	menig	23.82
mand	menig	8.52
mand	menig	44.13
mand	menig	39.44
mand	menig	28.58
mand	menig	29.86
mand	menig	29.56
mand	menig	37.8
mand	menig	27.33
mand	menig	43.38
mand	menig	48.8
mand	menig	26.08
mand	menig	7.9
mand	menig	29.7
mand	menig	38.5
kvinde	officer	52.77
kvinde	officer	50.34
kvinde	officer	47.2
kvinde	officer	38.45
kvinde	officer	47.77
kvinde	officer	60.11
kvinde	officer	28.45
kvinde	officer	37.19
kvinde	officer	51.65
kvinde	officer	53.07
kvinde	officer	44.74
kvinde	officer	28.43
kvinde	officer	43.63
kvinde	officer	35.05
kvinde	officer	27.65
kvinde	menig	47.23
kvinde	menig	27.8
kvinde	menig	30.46
kvinde	menig	12.69
kvinde	menig	43.78
kvinde	menig	39.35
kvinde	menig	28.33
kvinde	menig	65.22
kvinde	menig	42.34
kvinde	menig	13.75
kvinde	menig	55.31
kvinde	menig	20.01
kvinde	menig	24.36
kvinde	menig	61.5
kvinde	menig	8.18
kvinde	menig	5.65
kvinde	menig	25.55
kvinde	menig	59.76
kvinde	menig	13.05
kvinde	menig	59.57
kvinde	menig	58.27
kvinde	menig	30.81
kvinde	menig	29.82
kvinde	menig	30.7
kvinde	menig	21.52
kvinde	menig	13.12
kvinde	menig	57.62
kvinde	menig	20
kvinde	menig	39.97
kvinde	menig	36.46
