P	B	V	udbytte
1	1	Ja	Lami	52.3836
2	1	Ja	Lofa	49.6232
3	1	Ja	Salka	49.6232
4	1	Ja	Zita	49.7334
5	2	Ja	Lami	55.4953
6	2	Ja	Lofa	52.7372
7	2	Ja	Salka	54.1466
8	2	Ja	Zita	52.8523
9	3	Ja	Lami	56.4953
10	3	Ja	Lofa	48.8045
11	3	Ja	Salka	54.4419
12	3	Ja	Zita	53.146
13	4	Ja	Lami	58.1991
14	4	Ja	Lofa	48.3951
15	4	Ja	Salka	58.2607
16	4	Ja	Zita	55.5586
17	5	Nej	Lami	61.8205
18	5	Nej	Lofa	52.1603
19	5	Nej	Salka	57.7914
20	5	Nej	Zita	59.1376
21	6	Nej	Lami	60.7161
22	6	Nej	Lofa	53.1603
23	6	Nej	Salka	58.0875
24	6	Nej	Zita	57.3253
25	7	Nej	Lami	61.0146
26	7	Nej	Lofa	58.3836
27	7	Nej	Salka	56.9758
28	7	Nej	Zita	57.6222
29	8	Nej	Lami	61.3131
30	8	Nej	Lofa	55.8642
31	8	Nej	Salka	57.9758
32	8	Nej	Zita	60.0284
